publish_date,headline_place,headline_state,NCRB_stats,headline_text
20200213,city.agra,Uttar Pradesh,,rajasthan cops rescue up woman who was abducted gangraped sold thrice in 3 yrs
20200830,city.agra,Uttar Pradesh,,Delhi woman 'raped' in moving bus; with 45 passengers on board
20200906,city.agra,Uttar Pradesh,,Maharashtra woman raped by retired cop's son after being invited to party at his home in Agra
20200330,city.allahabad,Uttar Pradesh,,Uttar Pradesh: 20-year-old woman killed by husband
20200201,city.allahabad,Uttar Pradesh,,Woman found murdered; hubby accuses neighbour in Uttar Pradesh
20200330,city.allahabad,Uttar Pradesh,,Uttar Pradesh: 20-year-old woman killed by husband
20200219,city.bareilly,Uttar Pradesh,,Woman 'killed' by half-brother for property; honour
20200412,city.bareilly,Uttar Pradesh,,Bareilly SSP steps in after fake news on 'woman SI being killed by TJ men'
20200524,city.bareilly,Uttar Pradesh,,Husband not beau killed Shahjahanpur woman
20200710,city.bareilly,Uttar Pradesh,,Nine months after pregnant woman 'killed for dowry'; FIR filed against seven accused
20200727,city.bareilly,Uttar Pradesh,,22 year old woman killed for dowry in Pilibhit; 7 booked
20200820,city.bareilly,Uttar Pradesh,,Covid-19 positive woman leaps from 2nd floor of hospital; killed; cops suspect escape bid
